City;State;Median Age;Male Population;Female Population;Total Population;Number of Veterans;Foreign-born;Average Household Size;State Code;Race;Count
Los Angeles;California;35.0;1958998;2012898;3971896;85417;1485425;2.86;CA;White;2177650
Metairie;Louisiana;41.6;69515;76943;146458;7187;19871;2.39;LA;White;124270
Boca Raton;Florida;47.3;44760;48466;93226;4367;21117;2.22;FL;White;80781
Quincy;Massachusetts;41.0;44129;49500;93629;4147;32935;2.39;MA;Hispanic or Latino;2566
Union City;California;38.5;38599;35911;74510;1440;32752;3.46;CA;White;16845
Lakeland;Florida;38.1;47840;56570;104410;7390;11592;2.56;FL;Black or African-American;25111
Antioch;California;34.0;54733;55809;110542;5681;24942;3.31;CA;Hispanic or Latino;35563
Mount Pleasant;South Carolina;42.7;39429;41880;81309;3981;4701;2.5300000000000002;SC;Asian;1827
Des Moines;Iowa;34.5;103726;106591;210317;11780;23857;2.41;IA;Hispanic or Latino;25306
Jurupa Valley;California;33.8;49430;50884;100314;3833;25338;3.87;CA;Asian;4992
Daly City;California;39.7;53817;52757;106574;3782;56640;3.26;CA;Black or African-American;5401
Tacoma;Washington;37.7;100914;107036;207950;19040;31863;2.48;WA;American Indian and Alaska Native;5549
Milwaukee;Wisconsin;31.6;286315;313839;600154;20615;58321;2.51;WI;Hispanic or Latino;110335
Asheville;North Carolina;37.9;42100;46407;88507;4973;6630;2.18;NC;Hispanic or Latino;4146
West Palm Beach;Florida;39.6;49262;57520;106782;4917;30675;2.5300000000000002;FL;Hispanic or Latino;26132
Bayonne;New Jersey;39.7;32705;33598;66303;2225;21899;2.62;NJ;Black or African-American;7581
New Haven;Connecticut;29.9;63765;66545;130310;2567;25871;2.48;CT;Black or African-American;43356
Coral Springs;Florida;37.2;63316;66186;129502;4724;38552;3.17;FL;Asian;6573
Atlanta;Georgia;33.8;223960;239915;463875;18572;32016;2.15;GA;Hispanic or Latino;18653
Redlands;California;36.2;33993;37035;71028;3445;8681;2.8200000000000003;CA;Asian;6255
Toms River;New Jersey;43.7;43864;43886;87750;5042;6852;2.71;NJ;Black or African-American;3703
Palmdale;California;32.6;76361;81989;158350;6388;41974;3.54;CA;Black or African-American;27398
Youngs;Ohio;37.5;30758;33851;64609;3620;1058;2.22;OH;American Indian and Alaska Native;875
Frederick;Maryland;36.1;33146;36336;69482;3870;14211;2.48;MD;Black or African-American;13372
Fargo;North Dakota;30.7;60560;58690;119250;6154;9428;2.18;ND;American Indian and Alaska Native;3102
Cedar Park;Texas;34.4;31248;33589;64837;3090;5207;3.05;TX;American Indian and Alaska Native;219
Fort Collins;Colorado;29.6;80893;80288;161181;8425;9704;2.45;CO;White;150568
Portsmouth;Virginia;33.6;45900;50301;96201;10261;1815;2.54;VA;Hispanic or Latino;3896
Fremont;California;38.3;114383;117808;232191;4629;109427;3.12;CA;White;67294
Bloomington;Illinois;35.1;37972;40323;78295;3888;7287;2.34;IL;Hispanic or Latino;3461
Woodbury;Minnesota;37.7;31982;35868;67850;2732;9477;2.719999999999999;MN;Hispanic or Latino;3258
Mesa;Arizona;36.9;234998;236835;471833;31808;57492;2.68;AZ;Black or African-American;22699
Camden;New Jersey;27.9;36437;39694;76131;1425;11317;3.0;NJ;Hispanic or Latino;41473
Saint Louis;Missouri;35.0;153026;162659;315685;17060;21802;2.16;MO;White;155574
Gresham;Oregon;36.7;53866;56716;110582;6326;17860;2.67;OR;Black or African-American;7721
Lorain;Ohio;35.6;30844;32807;63651;4905;1531;2.52;OH;White;46667
Rochester;Minnesota;35.0;54934;57282;112216;6888;17763;2.55;MN;Asian;9839
German;Maryland;34.9;41115;43007;84122;2443;27877;2.95;MD;American Indian and Alaska Native;1232
Daly City;California;39.7;53817;52757;106574;3782;56640;3.26;CA;American Indian and Alaska Native;893
South San Francisco;California;39.4;34177;33094;67271;1839;27528;3.33;CA;White;28135
Manchester;New Hampshire;37.3;54845;55378;110223;5473;14506;2.4;NH;Black or African-American;6896
Longview;Texas;36.8;40065;41525;81590;5512;8782;2.55;TX;Asian;1810
Richardson;Texas;35.5;54676;56151;110827;4797;29579;2.83;TX;American Indian and Alaska Native;1439
Boulder;Colorado;29.0;56342;51000;107342;4061;12993;2.24;CO;Hispanic or Latino;9795
Yonkers;New York;38.0;96580;104538;201118;4801;61247;2.8;NY;White;129492
Fremont;California;38.3;114383;117808;232191;4629;109427;3.12;CA;Black or African-American;7762
Pharr;Texas;26.9;35242;41293;76535;1376;25532;3.67;TX;White;73694
Redding;California;38.8;42530;49049;91579;6926;5181;2.42;CA;American Indian and Alaska Native;4352
Sunnyvale;California;35.7;79480;72280;151760;3900;71441;2.74;CA;Asian;69472
Fontana;California;29.5;100644;106828;207472;4076;61448;4.15;CA;White;85044
Fort Lauderdale;Florida;42.8;93948;84639;178587;8897;47582;2.38;FL;Asian;3791
Fort Wayne;Indiana;34.7;124815;133329;258144;13539;19146;2.45;IN;Asian;13596
Coral Springs;Florida;37.2;63316;66186;129502;4724;38552;3.17;FL;American Indian and Alaska Native;1262
Lancaster;California;30.9;80668;80445;161113;7892;17247;3.25;CA;Hispanic or Latino;57423
Springfield;Missouri;34.1;81057;85741;166798;12291;7765;2.12;MO;Black or African-American;10026
Flower Mound;Texas;40.2;35200;35824;71024;4217;6860;3.01;TX;White;61433
Aurora;Colorado;34.2;177899;180971;358870;25158;65816;2.8200000000000003;CO;White;239803
Jacksonville;Florida;35.7;419203;448828;868031;75432;85650;2.62;FL;Black or African-American;282692
Sandy Springs;Georgia;35.4;48570;56777;105347;3015;19837;2.4;GA;Black or African-American;15420
Carlsbad;California;42.1;55119;58347;113466;6031;17689;2.68;CA;Asian;11948
Grand Prairie;Texas;33.1;90811;96944;187755;7073;44888;3.18;TX;American Indian and Alaska Native;1754
Evansville;Indiana;38.0;57198;60481;117679;9063;3169;2.25;IN;White;100055
Saint Cloud;Minnesota;30.7;34311;33942;68253;5012;5757;2.41;MN;White;59794
Weston;Florida;38.6;32956;36991;69947;1507;30876;3.34;FL;American Indian and Alaska Native;128
Greensboro;North Carolina;35.5;132251;153093;285344;14011;26667;2.36;NC;Asian;12683
Vallejo;California;37.8;58379;62890;121269;8103;30592;2.83;CA;Asian;34753
Bellflower;California;33.4;38936;39498;78434;2154;24607;3.58;CA;Hispanic or Latino;42472
Kenner;Louisiana;36.9;33993;33113;67106;2485;12352;2.5700000000000003;LA;Asian;2729
Albuquerque;New Mexico;36.0;273323;285808;559131;37443;58200;2.49;NM;Black or African-American;26774
Town 'n' Country;Florida;38.1;39410;39586;78996;4534;22135;2.61;FL;Black or African-American;9575
Cary;North Carolina;39.9;78932;81582;160514;7426;30008;2.61;NC;Asian;25124
Loveland;Colorado;37.6;37042;38146;75188;5667;3050;2.5300000000000002;CO;Hispanic or Latino;13567
Menifee;California;37.1;42866;44297;87163;6821;12481;3.06;CA;American Indian and Alaska Native;1639
Mobile;Alabama;38.0;91275;103030;194305;11939;7234;2.4;AL;Asian;5518
Orem;Utah;26.1;48695;45762;94457;2828;12808;3.26;UT;Black or African-American;1837
Baltimore;Maryland;34.7;294027;327822;621849;29540;49857;2.51;MD;American Indian and Alaska Native;7730
Brownsville;Texas;30.6;87689;96199;183888;4211;53301;3.48;TX;Black or African-American;1239
Riverview;Florida;32.2;44210;45536;89746;6943;12240;3.22;FL;Hispanic or Latino;23317
Lafayette;Indiana;33.5;34313;36857;71170;5045;5697;2.19;IN;Hispanic or Latino;9151
Duluth;Minnesota;34.7;41271;44855;86126;5015;2258;2.25;MN;Hispanic or Latino;1981
Poinciana;Florida;34.2;38142;35801;73943;2933;14349;3.93;FL;Asian;1409
Everett;Washington;37.0;56212;51800;108012;7880;19499;2.36;WA;Asian;9807
Southfield;Michigan;41.6;31369;41808;73177;4035;4011;2.27;MI;Black or African-American;54200
Duluth;Minnesota;34.7;41271;44855;86126;5015;2258;2.25;MN;Black or African-American;3891
Palm Coast;Florida;48.8;39489;42632;82121;7950;9084;2.76;FL;Black or African-American;10786
Pawtucket;Rhode Island;39.2;36072;35511;71583;3173;17884;2.41;RI;Asian;2150
Reno;Nevada;35.7;122292;119151;241443;17089;37070;2.46;NV;White;197335
Layton;Utah;29.5;37748;36394;74142;3811;4268;3.24;UT;American Indian and Alaska Native;1674
Lewisville;Texas;31.6;52776;52032;104808;4211;24865;2.7800000000000002;TX;White;70278
Guaynabo;Puerto Rico;42.2;33066;37426;70492;;;;PR;Hispanic or Latino;69936
Livermore;California;36.7;41522;46595;88117;3063;13959;2.91;CA;Black or African-American;3199
Southfield;Michigan;41.6;31369;41808;73177;4035;4011;2.27;MI;American Indian and Alaska Native;983
Memphis;Tennessee;34.1;312237;343523;655760;31189;43318;2.55;TN;Black or African-American;420983
Lee's Summit;Missouri;36.8;48353;46715;95068;6624;3803;2.68;MO;Asian;3013
Flower Mound;Texas;40.2;35200;35824;71024;4217;6860;3.01;TX;Asian;6577
Norwalk;Connecticut;42.4;40880;47603;88483;2877;22328;2.7;CT;Hispanic or Latino;24682
San Antonio;Texas;33.1;721405;748419;1469824;109089;208046;2.93;TX;Asian;53933
Hemet;California;36.8;38622;45251;83873;5613;13330;2.969999999999999;CA;Hispanic or Latino;37448
Abilene;Texas;31.3;65212;60664;125876;9367;8129;2.64;TX;Asian;2929
Newark;New Jersey;34.6;138040;143873;281913;5829;86253;2.73;NJ;White;76402
Peoria;Illinois;33.1;56229;62432;118661;6634;7517;2.4;IL;American Indian and Alaska Native;1343
O'Fallon;Missouri;36.0;41762;43270;85032;5783;3269;2.77;MO;Hispanic or Latino;2583
Hampton;Virginia;35.5;66214;70240;136454;19638;6204;2.48;VA;Black or African-American;70303
Lakewood;Colorado;37.7;76013;76576;152589;9988;14169;2.29;CO;Hispanic or Latino;33630
Mesa;Arizona;36.9;234998;236835;471833;31808;57492;2.68;AZ;American Indian and Alaska Native;16044
Bryan;Texas;29.4;41761;40345;82106;3602;12014;2.55;TX;Black or African-American;11914
Garland;Texas;34.5;116406;120430;236836;10407;62975;3.12;TX;Asian;27217
Springfield;Illinois;38.8;55639;62170;117809;7525;4264;2.22;IL;Asian;3871
Flint;Michigan;35.3;48984;49313;98297;3757;2138;2.38;MI;Asian;657
Tacoma;Washington;37.7;100914;107036;207950;19040;31863;2.48;WA;Black or African-American;30914
Waterbury;Connecticut;36.2;52235;56572;108807;3493;19967;2.71;CT;White;69075
Eagan;Minnesota;36.8;31587;34701;66288;2699;8642;2.49;MN;Hispanic or Latino;4328
Fort Smith;Arkansas;34.9;43346;44849;88195;3408;13177;2.44;AR;Black or African-American;9851
Carmichael;California;41.0;29281;33934;63215;4225;7378;2.39;CA;White;55862
Daly City;California;39.7;53817;52757;106574;3782;56640;3.26;CA;White;25522
Bryan;Texas;29.4;41761;40345;82106;3602;12014;2.55;TX;American Indian and Alaska Native;3557
Murrieta;California;35.3;49363;60453;109816;7242;19875;3.3;CA;Hispanic or Latino;32944
Brentwood;New York;34.2;31395;32397;63792;1492;27058;4.98;NY;American Indian and Alaska Native;4242
Quincy;Massachusetts;41.0;44129;49500;93629;4147;32935;2.39;MA;American Indian and Alaska Native;351
Boulder;Colorado;29.0;56342;51000;107342;4061;12993;2.24;CO;Black or African-American;1615
Waterbury;Connecticut;36.2;52235;56572;108807;3493;19967;2.71;CT;American Indian and Alaska Native;492
Evanston;Illinois;36.8;34146;41377;75523;2058;15003;2.29;IL;White;54496
Dothan;Alabama;38.9;32172;35364;67536;6334;1699;2.59;AL;Asian;1175
Antioch;California;34.0;54733;55809;110542;5681;24942;3.31;CA;American Indian and Alaska Native;3462
Madison;Wisconsin;30.7;122596;126360;248956;9707;30090;2.23;WI;American Indian and Alaska Native;2296
Victorville;California;30.6;60989;61247;122236;7484;21959;3.47;CA;Black or African-American;26747
Billings;Montana;36.3;52705;57565;110270;9121;3206;2.4;MT;White;102522
Sandy Springs;Georgia;35.4;48570;56777;105347;3015;19837;2.4;GA;American Indian and Alaska Native;1574
Iowa City;Iowa;25.5;37089;37138;74227;2047;9202;2.36;IA;American Indian and Alaska Native;610
Largo;Florida;45.1;38166;42841;81007;8310;10489;2.2800000000000002;FL;Asian;3249
Shreveport;Louisiana;35.2;93138;103856;196994;14287;5658;2.5300000000000002;LA;Asian;4033
Kalamazoo;Michigan;26.4;37175;38865;76040;3048;3482;2.36;MI;Asian;2429
Round Rock;Texas;34.9;56646;59193;115839;6804;18237;3.13;TX;Hispanic or Latino;37151
Richmond;California;35.3;52615;57100;109715;3611;42215;2.87;CA;Asian;20082
Columbia;Missouri;26.8;56544;62554;119098;4548;10729;2.37;MO;Asian;8673
Sandy;Utah;34.6;46923;46689;93612;3451;6691;3.22;UT;Hispanic or Latino;6832
Hoover;Alabama;38.5;38040;46799;84839;4819;8229;2.58;AL;Black or African-American;18191
Fullerton;California;34.5;69549;71300;140849;5394;43404;2.969999999999999;CA;White;92216
Dothan;Alabama;38.9;32172;35364;67536;6334;1699;2.59;AL;Black or African-American;23243
Rapid City;South Dakota;39.5;36122;37446;73568;7429;2375;2.31;SD;American Indian and Alaska Native;9159
Newport Beach;California;46.8;43161;43970;87131;4847;15318;2.4;CA;American Indian and Alaska Native;423
Columbus;Georgia;33.7;98785;101794;200579;21747;10376;2.62;GA;White;97436
Palm Coast;Florida;48.8;39489;42632;82121;7950;9084;2.76;FL;Hispanic or Latino;8706
Albany;Georgia;33.3;31695;39414;71109;5409;861;2.38;GA;American Indian and Alaska Native;445
Jurupa Valley;California;33.8;49430;50884;100314;3833;25338;3.87;CA;Black or African-American;3091
Providence;Rhode Island;29.9;89090;90114;179204;4933;53532;2.719999999999999;RI;Black or African-American;30638
Decatur;Illinois;40.4;34646;38210;72856;5291;1224;2.23;IL;Asian;1343
Scranton;Pennsylvania;38.5;37975;39137;77112;5059;8069;2.39;PA;Hispanic or Latino;11301
Anaheim;California;33.6;179603;171135;350738;9796;137133;3.45;CA;American Indian and Alaska Native;2489
Rochester;New York;31.4;100135;109673;209808;7288;17735;2.36;NY;Black or African-American;93072
Buffalo;New York;33.1;124537;133529;258066;11231;24630;2.27;NY;Black or African-American;101254
Richmond;Virginia;33.6;104793;115496;220289;12538;15741;2.29;VA;White;104568
Santa Ana;California;30.8;167503;167920;335423;4735;152999;4.58;CA;White;163096
Sunnyvale;California;35.7;79480;72280;151760;3900;71441;2.74;CA;Black or African-American;4210
Augusta-Richmond County consolidated government;Georgia;33.7;94662;101917;196579;19085;7915;2.67;GA;Hispanic or Latino;9068
Milwaukee;Wisconsin;31.6;286315;313839;600154;20615;58321;2.51;WI;Black or African-American;248149
Conroe;Texas;31.5;34907;33685;68592;4871;13839;2.65;TX;Asian;2302
Savannah;Georgia;30.3;69389;76295;145684;9717;10355;2.5700000000000003;GA;White;57690
German;Maryland;34.9;41115;43007;84122;2443;27877;2.95;MD;Black or African-American;22273
Costa Mesa;California;34.8;59097;54089;113186;4095;26645;2.59;CA;Hispanic or Latino;38239
New Haven;Connecticut;29.9;63765;66545;130310;2567;25871;2.48;CT;White;56251
Westland;Michigan;39.9;37742;44253;81995;4756;6429;2.41;MI;Hispanic or Latino;2827
Waldorf;Maryland;33.6;35640;39872;75512;6932;5954;2.69;MD;White;26788
Cedar Rapids;Iowa;36.2;63109;67296;130405;7823;5404;2.32;IA;American Indian and Alaska Native;1243
Troy;Michigan;43.3;42371;40905;83276;2975;21004;2.59;MI;Asian;22721
Kirkland;Washington;40.8;42159;45108;87267;5156;18570;2.3;WA;Hispanic or Latino;6720
Santa Barbara;California;37.8;45068;46784;91852;4518;19441;2.51;CA;Black or African-American;2013
Lake Forest;California;40.3;41515;40982;82497;3748;20784;2.76;CA;American Indian and Alaska Native;1482
Chino;California;36.5;50989;34610;85599;4186;18666;3.62;CA;Black or African-American;6815
Tucson;Arizona;33.6;264893;266781;531674;38182;82220;2.45;AZ;Hispanic or Latino;231025
Boise;Idaho;34.9;110099;108181;218280;16004;13409;2.61;ID;Hispanic or Latino;19480
Joliet;Illinois;33.1;70863;79162;150025;7353;22409;3.13;IL;Black or African-American;27883
Metairie;Louisiana;41.6;69515;76943;146458;7187;19871;2.39;LA;American Indian and Alaska Native;438
Moreno Valley;California;30.7;98584;105597;204181;8529;54442;3.9;CA;Asian;11912
Elizabeth;New Jersey;34.2;65896;63116;129012;1131;63413;3.18;NJ;White;70873
Wyoming;Michigan;32.8;35967;39310;75277;3447;8612;2.65;MI;American Indian and Alaska Native;2444
Norman;Oklahoma;30.9;59483;60814;120297;5578;8705;2.47;OK;Asian;6539
Frisco;Texas;37.2;73989;80399;154388;6297;30913;3.05;TX;Asian;30341
Waterloo;Iowa;37.2;34488;33969;68457;4800;5082;2.42;IA;Black or African-American;11815
Oakland;California;35.7;203827;215451;419278;12159;113896;2.56;CA;White;171599
Jonesboro;Arkansas;32.6;35666;38240;73906;3682;3222;2.44;AR;Asian;1282
Springfield;Missouri;34.1;81057;85741;166798;12291;7765;2.12;MO;American Indian and Alaska Native;2777
Mission;Texas;32.9;40530;42777;83307;2383;22608;3.51;TX;Hispanic or Latino;73367
Midland;Texas;32.1;66595;66355;132950;5753;17061;2.7800000000000002;TX;Hispanic or Latino;58677
Lansing;Michigan;31.4;54333;59777;114110;5327;8371;2.39;MI;Asian;4168
Springdale;Arkansas;31.8;36840;43614;80454;3397;19969;3.04;AR;White;56843
Bay;Texas;32.9;37977;37508;75485;3478;13192;2.59;TX;Black or African-American;16782
Apple Valley;California;34.3;32873;39312;72185;5714;5801;3.03;CA;Black or African-American;9124
Brockton;Massachusetts;35.2;46273;49041;95314;3036;27313;2.88;MA;Asian;2528
Poinciana;Florida;34.2;38142;35801;73943;2933;14349;3.93;FL;White;45622
Davis;California;26.3;33493;34163;67656;2176;13997;2.69;CA;American Indian and Alaska Native;779
Springfield;Massachusetts;31.8;74744;79592;154336;5723;16226;2.81;MA;Hispanic or Latino;69209
Decatur;Illinois;40.4;34646;38210;72856;5291;1224;2.23;IL;American Indian and Alaska Native;265
Saint Louis;Missouri;35.0;153026;162659;315685;17060;21802;2.16;MO;American Indian and Alaska Native;2746
Lehigh Acres;Florida;34.3;57856;61624;119480;5551;31880;3.55;FL;Hispanic or Latino;42092
Henderson;Nevada;42.5;139412;146246;285658;25045;35666;2.55;NV;American Indian and Alaska Native;3036
Bolingbrook;Illinois;33.7;36295;35801;72096;2951;15212;3.42;IL;American Indian and Alaska Native;323
Roswell;Georgia;38.8;48637;45859;94496;3325;16501;2.7;GA;Asian;7240
Huntsville;Alabama;38.1;91764;97350;189114;16637;12691;2.18;AL;American Indian and Alaska Native;1755
Livonia;Michigan;47.4;45369;49264;94633;5397;7175;2.52;MI;White;87383
Fort Worth;Texas;32.6;414126;422843;836969;39182;143404;2.88;TX;White;575180
Tracy;California;35.5;43156;43937;87093;3025;25410;3.42;CA;American Indian and Alaska Native;2120
Nashville;Tennessee;34.1;314231;340365;654596;27942;88193;2.39;TN;White;432447
Union City;New Jersey;35.4;35376;33773;69149;705;40553;2.85;NJ;Asian;4044
Independence;Missouri;38.6;54348;62907;117255;10220;4911;2.33;MO;White;98940
Colorado Springs;Colorado;34.8;225544;231018;456562;49291;35320;2.48;CO;Asian;22619
Camarillo;California;40.8;31941;35682;67623;4384;9735;2.77;CA;White;59702
Kendall;Florida;40.2;36658;39808;76466;1678;31180;2.81;FL;White;70266
Parma;Ohio;40.8;38425;41518;79943;5028;6909;2.42;OH;Asian;974
Shawnee;Kansas;40.1;32313;32745;65058;3575;4136;2.64;KS;Black or African-American;7296
Bk;California;37.0;50405;54909;105314;4048;32435;2.52;CA;White;79582
Yonkers;New York;38.0;96580;104538;201118;4801;61247;2.8;NY;Black or African-American;38731
San Tan Valley;Arizona;31.3;40429;42368;82797;4300;5757;3.44;AZ;American Indian and Alaska Native;3941
Alafaya;Florida;33.5;39504;45760;85264;4176;15842;2.94;FL;Asian;10336
Saint Paul;Minnesota;31.5;149547;151293;300840;10548;56514;2.58;MN;Hispanic or Latino;27307
Boston;Massachusetts;31.8;322149;347320;669469;18350;190123;2.38;MA;White;378543
Dearborn;Michigan;33.5;46482;48698;95180;3163;23920;3.04;MI;Black or African-American;3699
Lawrence;Massachusetts;30.8;37464;42776;80240;1190;29170;3.17;MA;Black or African-American;9221
Nampa;Idaho;31.4;45651;44199;89850;4736;6607;2.98;ID;White;80776
Vista;California;29.3;50680;50204;100884;4957;23271;3.52;CA;Hispanic or Latino;49524
Cary;North Carolina;39.9;78932;81582;160514;7426;30008;2.61;NC;Black or African-American;15496
Palm Bay;Florida;40.7;51767;56128;107895;10942;12070;2.8200000000000003;FL;Hispanic or Latino;16841
Portsmouth;Virginia;33.6;45900;50301;96201;10261;1815;2.54;VA;White;43004
Lawton;Oklahoma;31.1;51099;45560;96659;11572;6123;2.719999999999999;OK;Hispanic or Latino;13780
Reading;Pennsylvania;29.4;43668;44205;87873;2580;17043;2.95;PA;Black or African-American;20821
New Britain;Connecticut;33.4;37350;35459;72809;2219;15080;2.52;CT;Hispanic or Latino;30188
Everett;Washington;37.0;56212;51800;108012;7880;19499;2.36;WA;Black or African-American;8304
Waukesha;Wisconsin;35.8;36263;35713;71976;3116;4982;2.35;WI;Hispanic or Latino;9713
The Woodlands;Texas;38.8;56083;63061;119144;8351;21188;2.93;TX;Asian;8828
Lubbock;Texas;29.2;122320;126731;249051;10588;14226;2.61;TX;American Indian and Alaska Native;7627
North Las Vegas;Nevada;32.2;116350;118443;234793;17256;49815;3.31;NV;Black or African-American;54093
Baton Rouge;Louisiana;31.2;111492;117104;228596;10633;12268;2.52;LA;American Indian and Alaska Native;1119
Chicago;Illinois;34.2;1320015;1400541;2720556;72042;573463;2.5300000000000002;IL;Asian;195084
Garden Grove;California;37.8;86779;88605;175384;4316;80677;3.66;CA;American Indian and Alaska Native;1713
Conroe;Texas;31.5;34907;33685;68592;4871;13839;2.65;TX;Hispanic or Latino;23863
South Jordan;Utah;33.8;33669;32970;66639;2595;6142;3.61;UT;White;59046
Cape Coral;Florida;45.0;85626;89604;175230;14446;24185;2.85;FL;Hispanic or Latino;33016
Chesapeake;Virginia;36.7;114964;120465;235429;29772;13966;2.73;VA;Asian;11354
Columbus;Ohio;32.5;413981;435086;849067;40238;101129;2.4;OH;Hispanic or Latino;46855
Norwalk;California;35.0;53125;54020;107145;3027;39396;3.88;CA;American Indian and Alaska Native;1165
Reading;Pennsylvania;29.4;43668;44205;87873;2580;17043;2.95;PA;White;64401
Westminster;California;42.9;45538;46573;92111;3435;42227;3.27;CA;Asian;46560
Irvine;California;34.6;125411;131516;256927;5532;116366;2.73;CA;Hispanic or Latino;19266
Arlington;Texas;32.6;191060;197062;388122;17050;79271;2.89;TX;Black or African-American;92955
Johns Creek;Georgia;39.0;40282;43057;83339;1983;29000;3.19;GA;Black or African-American;11273
Edmond;Oklahoma;32.5;45191;44899;90090;5006;5585;2.68;OK;White;78979
Bend;Oregon;37.3;42294;44723;87017;6199;3032;2.39;OR;Hispanic or Latino;8173
Las Vegas;Nevada;37.5;310568;313201;623769;42397;127609;2.79;NV;White;429142
Fort Smith;Arkansas;34.9;43346;44849;88195;3408;13177;2.44;AR;Hispanic or Latino;17104
South Jordan;Utah;33.8;33669;32970;66639;2595;6142;3.61;UT;Hispanic or Latino;4672
Carrollton;Texas;36.9;66928;66218;133146;5720;35327;2.7800000000000002;TX;Hispanic or Latino;46850
Cleveland;Ohio;36.0;186436;201623;388059;19849;18830;2.24;OH;Black or African-American;205395
Norwalk;Connecticut;42.4;40880;47603;88483;2877;22328;2.7;CT;American Indian and Alaska Native;552
West Valley City;Utah;30.7;68235;67989;136224;4880;30712;3.81;UT;White;89145
Grand Rapids;Michigan;32.1;95669;99430;195099;8972;19176;2.56;MI;Asian;6057
Federal Way;Washington;36.4;49151;46037;95188;7135;18565;2.68;WA;White;59035
Saint Petersburg;Florida;41.8;123524;133564;257088;20247;28567;2.42;FL;Black or African-American;67798
Turlock;California;36.2;33190;39103;72293;3397;14686;2.76;CA;White;59308
Riverside;California;31.4;160613;161810;322423;12373;69584;3.34;CA;White;225157
Bloomington;Minnesota;40.9;43318;43118;86436;6176;10728;2.3;MN;Black or African-American;5828
Berkeley;California;32.5;60142;60829;120971;3736;25000;2.35;CA;American Indian and Alaska Native;1868
Santa Fe;New Mexico;44.1;40601;43511;84112;5083;13824;2.41;NM;Asian;1878
Victorville;California;30.6;60989;61247;122236;7484;21959;3.47;CA;White;86648
Lewisville;Texas;31.6;52776;52032;104808;4211;24865;2.7800000000000002;TX;Asian;12412
Newark;New Jersey;34.6;138040;143873;281913;5829;86253;2.73;NJ;Black or African-American;144961
Chino Hills;California;41.9;39639;38674;78313;3358;24764;3.05;CA;American Indian and Alaska Native;1773
Schaumburg;Illinois;36.9;35971;39840;75811;2019;24614;2.719999999999999;IL;Black or African-American;2071
Bloomington;Indiana;23.5;40588;43227;83815;2368;10033;2.33;IN;American Indian and Alaska Native;912
Clovis;California;37.8;52392;51780;104172;6173;13409;2.76;CA;American Indian and Alaska Native;1876
Torrance;California;41.2;73209;75259;148468;8459;43096;2.7;CA;Asian;54317
Reno;Nevada;35.7;122292;119151;241443;17089;37070;2.46;NV;Black or African-American;9427
McKinney;Texas;35.6;77339;85548;162887;8082;25760;2.91;TX;Black or African-American;16689
Roanoke;Virginia;36.9;47252;52645;99897;6567;7346;2.35;VA;Asian;3237
Corona;California;37.1;79749;84493;164242;7709;42131;2.969999999999999;CA;Black or African-American;9437
Fairfield;California;34.7;55550;57422;112972;8607;24503;3.14;CA;Black or African-American;18274
Arlington;Texas;32.6;191060;197062;388122;17050;79271;2.89;TX;American Indian and Alaska Native;2918
Downey;California;37.3;53006;61205;114211;2281;39977;3.45;CA;Asian;9776
Macon;Georgia;36.0;71833;81626;153459;10735;4846;2.46;GA;Asian;3588
Palm Bay;Florida;40.7;51767;56128;107895;10942;12070;2.8200000000000003;FL;Asian;1124
Athens-Clarke County unified government;Georgia;26.5;57415;65148;122563;3953;12868;2.44;GA;American Indian and Alaska Native;593
Riverside;California;31.4;160613;161810;322423;12373;69584;3.34;CA;Black or African-American;26147
Temecula;California;34.2;54407;57619;112026;7587;18884;3.34;CA;Asian;14532
Concord;California;39.6;62310;66358;128668;6287;37428;2.719999999999999;CA;Hispanic or Latino;41400
Columbus;Georgia;33.7;98785;101794;200579;21747;10376;2.62;GA;American Indian and Alaska Native;1343
Corpus Christi;Texas;35.0;160488;163594;324082;25078;30834;2.69;TX;American Indian and Alaska Native;2972
Rancho Cordova;California;33.8;34844;36182;71026;4590;17020;2.86;CA;White;47757
Columbia;South Carolina;28.0;67686;65707;133393;5708;6074;2.32;SC;American Indian and Alaska Native;1420
Tampa;Florida;35.3;175517;193511;369028;20636;58795;2.47;FL;White;257552
Fayetteville;Arkansas;27.1;41959;40873;82832;4744;6313;2.2800000000000002;AR;Hispanic or Latino;5535
Tucson;Arizona;33.6;264893;266781;531674;38182;82220;2.45;AZ;American Indian and Alaska Native;24409
Montgomery;Alabama;35.4;94582;106004;200586;14955;9337;2.41;AL;Asian;6518
Kansas City;Missouri;35.9;228430;246931;475361;24710;37787;2.35;MO;White;296623
Lawrence;Massachusetts;30.8;37464;42776;80240;1190;29170;3.17;MA;Asian;2149
College Station;Texas;22.9;54125;53774;107899;2471;16145;2.52;TX;White;84892
West Palm Beach;Florida;39.6;49262;57520;106782;4917;30675;2.5300000000000002;FL;Asian;3191
Green Bay;Wisconsin;32.9;52517;52704;105221;5519;9813;2.37;WI;Asian;5652
Bossier City;Louisiana;32.7;33428;34669;68097;8108;2980;2.4;LA;Black or African-American;19520
Merced;California;29.7;40048;42392;82440;3723;16348;3.15;CA;Black or African-American;6464
Roanoke;Virginia;36.9;47252;52645;99897;6567;7346;2.35;VA;Black or African-American;30920
Warner Robins;Georgia;31.4;35093;38909;74002;6974;3210;2.5;GA;Asian;2723
